cripto,tiempo,precio,s_p
BTC,2022-10-20 07:56:51.455926,19213.66,19026.4734
BTC,2022-10-20 07:56:52.352882,19212.26,19026.4734
BTC,2022-10-20 07:56:53.258544,19212.73,19026.4734
BTC,2022-10-20 07:56:54.148602,19212.73,19026.4734
BTC,2022-10-20 07:56:55.030655,19213.09,19026.4734
BTC,2022-10-20 07:56:55.913500,19213.8,19026.4734
BTC,2022-10-20 07:56:56.813495,19211.49,19026.4734
BTC,2022-10-20 07:56:57.668363,19211.83,19026.4734
BTC,2022-10-20 07:56:59.395876,19212.1,19026.4734
BTC,2022-10-20 07:57:00.325467,19213.36,19026.4734
BTC,2022-10-20 07:57:01.211682,19213.36,19026.4734
BTC,2022-10-20 07:57:02.105073,19214.7,19026.4734
BTC,2022-10-20 07:57:02.979837,19214.98,19026.4734
BTC,2022-10-20 07:57:03.881674,19216.17,19026.4734
BTC,2022-10-20 07:57:04.798902,19216.25,19026.4734
BTC,2022-10-20 07:57:06.533874,19213.3,19026.4734
BTC,2022-10-20 07:57:07.434928,19211.53,19026.4734
BTC,2022-10-20 07:57:09.168984,19212.3,19026.4734
BTC,2022-10-20 07:57:10.055515,19212.94,19026.4734
BTC,2022-10-20 07:57:10.962301,19211.62,19026.4734
BTC,2022-10-20 07:57:11.861147,19210.92,19026.4734
BTC,2022-10-20 07:57:12.752249,19211.9,19026.4734
BTC,2022-10-20 07:57:13.658436,19211.97,19026.4734
BTC,2022-10-20 07:57:15.405717,19211.78,19026.4734
BTC,2022-10-20 07:57:16.301002,19211.78,19026.4734
BTC,2022-10-20 07:57:17.190683,19211.65,19026.4734
BTC,2022-10-20 07:57:18.083070,19212.36,19026.4734
BTC,2022-10-20 07:57:18.954893,19212.2,19026.4734
BTC,2022-10-20 07:57:19.842468,19212.2,19026.4734
BTC,2022-10-20 07:57:20.748857,19211.4,19026.4734
BTC,2022-10-20 07:57:21.651955,19206.63,19026.4734
BTC,2022-10-20 07:57:22.561101,19207,19026.4734
BTC,2022-10-20 07:57:23.453064,19204,19026.4734
BTC,2022-10-20 07:57:25.187231,19204.33,19026.4734
BTC,2022-10-20 07:57:26.082803,19202.51,19026.4734
BTC,2022-10-20 07:57:26.977219,19200.2,19026.4734
BTC,2022-10-20 07:57:28.726022,19198.76,19026.4734
BTC,2022-10-20 07:57:29.616315,19196.35,19026.4734
BTC,2022-10-20 07:57:31.374606,19198.28,19026.4734
BTC,2022-10-20 07:57:32.267838,19197.17,19026.4734
BTC,2022-10-20 07:57:33.165497,19196.12,19026.4734
BTC,2022-10-20 07:57:34.066782,19199.67,19026.4734
BTC,2022-10-20 07:57:34.966735,19197.62,19026.4734
BTC,2022-10-20 07:57:35.853899,19192.96,19026.4734
BTC,2022-10-20 07:57:36.768423,19196.66,19026.4734
BTC,2022-10-20 07:57:37.653906,19196.68,19026.4734
BTC,2022-10-20 07:57:38.538808,19195.8,19026.4734
BTC,2022-10-20 07:57:39.452249,19195.74,19026.4734
BTC,2022-10-20 07:57:41.195897,19195.82,19026.4734
BTC,2022-10-20 07:57:42.087362,19196.55,19026.4734
BTC,2022-10-20 07:57:42.979846,19195,19026.4734
BTC,2022-10-20 07:57:43.906962,19194.84,19026.4734
BTC,2022-10-20 07:57:45.634748,19195.8,19026.4734
BTC,2022-10-20 07:57:46.517916,19195.38,19026.2754
BTC,2022-10-20 07:57:47.390138,19195.6,19024.0875
BTC,2022-10-20 07:57:48.257515,19197.26,19024.0875
BTC,2022-10-20 07:57:49.119755,19197.87,19024.0875
BTC,2022-10-20 07:57:49.985831,19198.24,19024.0875
